diet	genotype	free T3 serum concentration / pg/mL
LDC	WT	2.921
LDC	WT	3.483
LDC	WT	3.813
LDC	WT	3.318
LDC	WT	3.109
LDC	WT	3.218
LDC	WT	2.932
LDC	WT	2.574
LDC	WT	2.46
LDC	hepTRbKO	2.642
LDC	hepTRbKO	4.465
LDC	hepTRbKO	4.166
LDC	hepTRbKO	3.755
LDC	hepTRbKO	3.103
LDC	hepTRbKO	3.366
LDC	hepTRbKO	3.032
LDC	hepTRbKO	2.753
LDC	hepTRbKO	2.972
LDC+T3	WT	10.696
LDC+T3	WT	20.269
LDC+T3	WT	14.481
LDC+T3	WT	14.02
LDC+T3	WT	19.348
LDC+T3	WT	13.819
LDC+T3	WT	15.893
LDC+T3	WT	15.187
LDC+T3	WT	12.592
LDC+T3	hepTRbKO	15.37
LDC+T3	hepTRbKO	12.259
LDC+T3	hepTRbKO	22.514
LDC+T3	hepTRbKO	19.471
LDC+T3	hepTRbKO	29.764
LDC+T3	hepTRbKO	31.54
LDC+T3	hepTRbKO	19.881
LDC+T3	hepTRbKO	16.162
LDC+T3	hepTRbKO	33.496
EtOH	WT	2.485
EtOH	WT	3.294
EtOH	WT	2.393
EtOH	WT	2.744
EtOH	WT	2.999
EtOH	WT	2.517
EtOH	WT	2.571
EtOH	WT	2.546
EtOH	WT	2.974
EtOH	WT	3.178
EtOH	hepTRbKO	2.907
EtOH	hepTRbKO	2.646
EtOH	hepTRbKO	3.318
EtOH	hepTRbKO	2.987
EtOH	hepTRbKO	2.874
EtOH	hepTRbKO	2.846
EtOH	hepTRbKO	3.174
EtOH	hepTRbKO	2.837
EtOH	hepTRbKO	2.679
EtOH+T3	WT	10.3
EtOH+T3	WT	11.032
EtOH+T3	WT	19.29
EtOH+T3	WT	6.778
EtOH+T3	WT	10.083
EtOH+T3	WT	8.487
EtOH+T3	WT	13.57
EtOH+T3	WT	8.836
EtOH+T3	hepTRbKO	12.353
EtOH+T3	hepTRbKO	18.75
EtOH+T3	hepTRbKO	12.077
EtOH+T3	hepTRbKO	13.768
EtOH+T3	hepTRbKO	13.605
EtOH+T3	hepTRbKO	10.363
EtOH+T3	hepTRbKO	9.921
EtOH+T3	hepTRbKO	10.096
EtOH+T3	hepTRbKO	11.983
EtOH+T3	hepTRbKO	13.406